empid,fname,lname,supervisorid,pto,payday,payamount
12,Sarah,Thomas,3,40,2024-11-15,814.51
12,Sarah,Thomas,3,48,2024-11-29,814.51
12,Sarah,Thomas,3,56,2024-12-13,814.51
13,Christopher,Taylor,4,16,2024-10-18,773.78
13,Christopher,Taylor,4,24,2024-11-01,773.78
13,Christopher,Taylor,4,32,2024-11-15,773.78
13,Christopher,Taylor,4,40,2024-11-29,773.78
13,Christopher,Taylor,4,48,2024-12-13,773.78
14,Amanda,Moore,4,8,2024-10-18,773.78
14,Amanda,Moore,4,16,2024-11-01,773.78
14,Amanda,Moore,4,24,2024-11-15,773.78
14,Amanda,Moore,4,32,2024-11-29,773.78
14,Amanda,Moore,4,40,2024-12-13,773.78
15,Joshua,Jackson,4,0,2024-10-18,773.78
15,Joshua,Jackson,4,8,2024-11-01,773.78
15,Joshua,Jackson,4,16,2024-11-15,773.78
15,Joshua,Jackson,4,24,2024-11-29,773.78
15,Joshua,Jackson,4,32,2024-12-13,773.78
16,Elizabeth,White,5,40,2024-10-18,735.09
16,Elizabeth,White,5,48,2024-11-01,735.09
16,Elizabeth,White,5,56,2024-11-15,735.09
16,Elizabeth,White,5,64,2024-11-29,735.09
16,Elizabeth,White,5,72,2024-12-13,735.09
17,Andrew,Harris,5,32,2024-10-18,735.09
17,Andrew,Harris,5,40,2024-11-01,735.09
17,Andrew,Harris,5,48,2024-11-15,735.09
17,Andrew,Harris,5,56,2024-11-29,735.09
17,Andrew,Harris,5,64,2024-12-13,735.09
18,Stephanie,Martin,5,24,2024-10-18,735.09
18,Stephanie,Martin,5,32,2024-11-01,735.09
18,Stephanie,Martin,5,40,2024-11-15,735.09
18,Stephanie,Martin,5,48,2024-11-29,735.09
18,Stephanie,Martin,5,56,2024-12-13,735.09
19,Justin,Thompson,6,16,2024-10-18,698.34
19,Justin,Thompson,6,24,2024-11-01,698.34
19,Justin,Thompson,6,32,2024-11-15,698.34
19,Justin,Thompson,6,40,2024-11-29,698.34
19,Justin,Thompson,6,48,2024-12-13,698.34
20,Rebecca,Martinez,6,8,2024-10-18,698.34
20,Rebecca,Martinez,6,16,2024-11-01,698.34
20,Rebecca,Martinez,6,24,2024-11-15,698.34
20,Rebecca,Martinez,6,32,2024-11-29,698.34
20,Rebecca,Martinez,6,40,2024-12-13,698.34
21,Brandon,Clark,6,0,2024-10-18,698.34
21,Brandon,Clark,6,8,2024-11-01,698.34
21,Brandon,Clark,6,16,2024-11-15,698.34
21,Brandon,Clark,6,24,2024-11-29,698.34
21,Brandon,Clark,6,32,2024-12-13,698.34
22,Laura,Robinson,7,40,2024-10-18,663.42
22,Laura,Robinson,7,48,2024-11-01,663.42
22,Laura,Robinson,7,56,2024-11-15,663.42
22,Laura,Robinson,7,64,2024-11-29,663.42
22,Laura,Robinson,7,72,2024-12-13,663.42
23,Kevin,Walker,7,32,2024-10-18,663.42
23,Kevin,Walker,7,40,2024-11-01,663.42
23,Kevin,Walker,7,48,2024-11-15,663.42
23,Kevin,Walker,7,56,2024-11-29,663.42
23,Kevin,Walker,7,64,2024-12-13,663.42
24,Michelle,Young,7,24,2024-10-18,663.42
24,Michelle,Young,7,32,2024-11-01,663.42
24,Michelle,Young,7,40,2024-11-15,663.42
24,Michelle,Young,7,48,2024-11-29,663.42
24,Michelle,Young,7,56,2024-12-13,663.42
25,Jason,King,8,16,2024-10-18,630.25
25,Jason,King,8,24,2024-11-01,630.25
25,Jason,King,8,32,2024-11-15,630.25
25,Jason,King,8,40,2024-11-29,630.25
25,Jason,King,8,48,2024-12-13,630.25
26,Angela,Wright,8,8,2024-10-18,630.25
26,Angela,Wright,8,16,2024-11-01,630.25
26,Angela,Wright,8,24,2024-11-15,630.25
26,Angela,Wright,8,32,2024-11-29,630.25
26,Angela,Wright,8,40,2024-12-13,630.25
27,Eric,Lopez,8,0,2024-10-18,630.25
27,Eric,Lopez,8,8,2024-11-01,630.25
27,Eric,Lopez,8,16,2024-11-15,630.25
27,Eric,Lopez,8,24,2024-11-29,630.25
27,Eric,Lopez,8,32,2024-12-13,630.25
28,Kimberly,Hill,9,40,2024-10-18,598.74
28,Kimberly,Hill,9,48,2024-11-01,598.74
28,Kimberly,Hill,9,56,2024-11-15,598.74
28,Kimberly,Hill,9,64,2024-11-29,598.74
28,Kimberly,Hill,9,72,2024-12-13,598.74
29,Steven,Scott,9,32,2024-10-18,598.74
29,Steven,Scott,9,40,2024-11-01,598.74
29,Steven,Scott,9,48,2024-11-15,598.74
29,Steven,Scott,9,56,2024-11-29,598.74
29,Steven,Scott,9,64,2024-12-13,598.74
30,Jessica,Green,9,24,2024-10-18,598.74
30,Jessica,Green,9,32,2024-11-01,598.74
30,Jessica,Green,9,40,2024-11-15,598.74
30,Jessica,Green,9,48,2024-11-29,598.74
30,Jessica,Green,9,56,2024-12-13,598.74
31,Mark,Adams,10,16,2024-10-18,568.8
31,Mark,Adams,10,24,2024-11-01,568.8
31,Mark,Adams,10,32,2024-11-15,568.8
31,Mark,Adams,10,40,2024-11-29,568.8
31,Mark,Adams,10,48,2024-12-13,568.8
32,Patricia,Baker,10,8,2024-10-18,568.8
32,Patricia,Baker,10,16,2024-11-01,568.8
32,Patricia,Baker,10,24,2024-11-15,568.8
32,Patricia,Baker,10,32,2024-11-29,568.8
32,Patricia,Baker,10,40,2024-12-13,568.8
33,Paul,Nelson,10,0,2024-10-18,568.8
33,Paul,Nelson,10,8,2024-11-01,568.8
33,Paul,Nelson,10,16,2024-11-15,568.8
33,Paul,Nelson,10,24,2024-11-29,568.8
33,Paul,Nelson,10,32,2024-12-13,568.8
34,Jennifer,Carter,11,40,2024-10-18,540.36
34,Jennifer,Carter,11,48,2024-11-01,540.36
34,Jennifer,Carter,11,56,2024-11-15,540.36
34,Jennifer,Carter,11,64,2024-11-29,540.36
34,Jennifer,Carter,11,72,2024-12-13,540.36
35,Charles,Mitchell,11,32,2024-10-18,540.36
35,Charles,Mitchell,11,40,2024-11-01,540.36
35,Charles,Mitchell,11,48,2024-11-15,540.36
35,Charles,Mitchell,11,56,2024-11-29,540.36
35,Charles,Mitchell,11,64,2024-12-13,540.36
36,Emily,Roberts,11,24,2024-10-18,540.36
36,Emily,Roberts,11,32,2024-11-01,540.36
36,Emily,Roberts,11,40,2024-11-15,540.36
36,Emily,Roberts,11,48,2024-11-29,540.36
36,Emily,Roberts,11,56,2024-12-13,540.36
37,Anthony,Turner,12,16,2024-10-18,513.34
37,Anthony,Turner,12,24,2024-11-01,513.34
37,Anthony,Turner,12,32,2024-11-15,513.34
37,Anthony,Turner,12,40,2024-11-29,513.34
37,Anthony,Turner,12,48,2024-12-13,513.34
38,Angela,Phillips,12,8,2024-10-18,513.34
38,Angela,Phillips,12,16,2024-11-01,513.34
38,Angela,Phillips,12,24,2024-11-15,513.34
1,John,Doe,1,32,2024-10-18,950.0
1,John,Doe,1,40,2024-11-01,950.0
1,John,Doe,1,48,2024-11-15,950.0
1,John,Doe,1,56,2024-11-29,950.0
1,John,Doe,1,64,2024-12-13,950.0
2,Jane,Smith,1,24,2024-10-18,950.0
2,Jane,Smith,1,32,2024-11-01,950.0
2,Jane,Smith,1,40,2024-11-15,950.0
2,Jane,Smith,1,48,2024-11-29,950.0
2,Jane,Smith,1,56,2024-12-13,950.0
3,Michael,Johnson,1,16,2024-10-18,950.0
3,Michael,Johnson,1,24,2024-11-01,950.0
3,Michael,Johnson,1,32,2024-11-15,950.0
3,Michael,Johnson,1,40,2024-11-29,950.0
3,Michael,Johnson,1,48,2024-12-13,950.0
4,Emily,Williams,1,8,2024-10-18,902.5
4,Emily,Williams,1,16,2024-11-01,902.5
4,Emily,Williams,1,24,2024-11-15,902.5
4,Emily,Williams,1,32,2024-11-29,902.5
4,Emily,Williams,1,40,2024-12-13,902.5
5,David,Brown,1,40,2024-10-18,902.5
5,David,Brown,1,48,2024-11-01,902.5
5,David,Brown,1,56,2024-11-15,902.5
5,David,Brown,1,64,2024-11-29,902.5
5,David,Brown,1,72,2024-12-13,902.5
6,Jessica,Jones,1,32,2024-10-18,902.5
6,Jessica,Jones,1,40,2024-11-01,902.5
6,Jessica,Jones,1,48,2024-11-15,902.5
6,Jessica,Jones,1,56,2024-11-29,902.5
6,Jessica,Jones,1,64,2024-12-13,902.5
7,Daniel,Garcia,2,24,2024-10-18,857.38
7,Daniel,Garcia,2,32,2024-11-01,857.38
7,Daniel,Garcia,2,40,2024-11-15,857.38
7,Daniel,Garcia,2,48,2024-11-29,857.38
7,Daniel,Garcia,2,56,2024-12-13,857.38
8,Ashley,Miller,2,16,2024-10-18,857.38
8,Ashley,Miller,2,24,2024-11-01,857.38
8,Ashley,Miller,2,32,2024-11-15,857.38
8,Ashley,Miller,2,40,2024-11-29,857.38
8,Ashley,Miller,2,48,2024-12-13,857.38
9,Matthew,Martinez,2,8,2024-10-18,857.38
9,Matthew,Martinez,2,16,2024-11-01,857.38
9,Matthew,Martinez,2,24,2024-11-15,857.38
9,Matthew,Martinez,2,32,2024-11-29,857.38
9,Matthew,Martinez,2,40,2024-12-13,857.38
10,Laura,Wilson,3,40,2024-10-18,814.51
10,Laura,Wilson,3,48,2024-11-01,814.51
10,Laura,Wilson,3,56,2024-11-15,814.51
10,Laura,Wilson,3,64,2024-11-29,814.51
10,Laura,Wilson,3,72,2024-12-13,814.51
11,James,Anderson,3,32,2024-10-18,814.51
11,James,Anderson,3,40,2024-11-01,814.51
11,James,Anderson,3,48,2024-11-15,814.51
11,James,Anderson,3,56,2024-11-29,814.51
11,James,Anderson,3,64,2024-12-13,814.51
12,Sarah,Thomas,3,24,2024-10-18,814.51
12,Sarah,Thomas,3,32,2024-11-01,814.51
12,Sarah,Thomas,3,40,2024-11-15,814.51
12,Sarah,Thomas,3,48,2024-11-29,814.51
12,Sarah,Thomas,3,56,2024-12-13,814.51
13,Christopher,Taylor,4,16,2024-10-18,773.78
13,Christopher,Taylor,4,24,2024-11-01,773.78
13,Christopher,Taylor,4,32,2024-11-15,773.78
13,Christopher,Taylor,4,40,2024-11-29,773.78
13,Christopher,Taylor,4,48,2024-12-13,773.78
14,Amanda,Moore,4,8,2024-10-18,773.78
14,Amanda,Moore,4,16,2024-11-01,773.78
14,Amanda,Moore,4,24,2024-11-15,773.78
14,Amanda,Moore,4,32,2024-11-29,773.78
14,Amanda,Moore,4,40,2024-12-13,773.78
15,Joshua,Jackson,4,0,2024-10-18,773.78
15,Joshua,Jackson,4,8,2024-11-01,773.78
15,Joshua,Jackson,4,16,2024-11-15,773.78
15,Joshua,Jackson,4,24,2024-11-29,773.78
15,Joshua,Jackson,4,32,2024-12-13,773.78
16,Elizabeth,White,5,40,2024-10-18,735.09
16,Elizabeth,White,5,48,2024-11-01,735.09
16,Elizabeth,White,5,56,2024-11-15,735.09
16,Elizabeth,White,5,64,2024-11-29,735.09
16,Elizabeth,White,5,72,2024-12-13,735.09
17,Andrew,Harris,5,32,2024-10-18,735.09
17,Andrew,Harris,5,40,2024-11-01,735.09
17,Andrew,Harris,5,48,2024-11-15,735.09
17,Andrew,Harris,5,56,2024-11-29,735.09
17,Andrew,Harris,5,64,2024-12-13,735.09
18,Stephanie,Martin,5,24,2024-10-18,735.09
18,Stephanie,Martin,5,32,2024-11-01,735.09
18,Stephanie,Martin,5,40,2024-11-15,735.09
18,Stephanie,Martin,5,48,2024-11-29,735.09
18,Stephanie,Martin,5,56,2024-12-13,735.09
19,Justin,Thompson,6,16,2024-10-18,698.34
19,Justin,Thompson,6,24,2024-11-01,698.34
19,Justin,Thompson,6,32,2024-11-15,698.34
19,Justin,Thompson,6,40,2024-11-29,698.34
19,Justin,Thompson,6,48,2024-12-13,698.34
20,Rebecca,Martinez,6,8,2024-10-18,698.34
20,Rebecca,Martinez,6,16,2024-11-01,698.34
20,Rebecca,Martinez,6,24,2024-11-15,698.34
20,Rebecca,Martinez,6,32,2024-11-29,698.34
20,Rebecca,Martinez,6,40,2024-12-13,698.34
21,Brandon,Clark,6,0,2024-10-18,698.34
21,Brandon,Clark,6,8,2024-11-01,698.34
21,Brandon,Clark,6,16,2024-11-15,698.34
21,Brandon,Clark,6,24,2024-11-29,698.34
21,Brandon,Clark,6,32,2024-12-13,698.34
22,Laura,Robinson,7,40,2024-10-18,663.42
22,Laura,Robinson,7,48,2024-11-01,663.42
22,Laura,Robinson,7,56,2024-11-15,663.42
22,Laura,Robinson,7,64,2024-11-29,663.42
22,Laura,Robinson,7,72,2024-12-13,663.42
23,Kevin,Walker,7,32,2024-10-18,663.42
23,Kevin,Walker,7,40,2024-11-01,663.42
23,Kevin,Walker,7,48,2024-11-15,663.42
23,Kevin,Walker,7,56,2024-11-29,663.42
23,Kevin,Walker,7,64,2024-12-13,663.42
24,Michelle,Young,7,24,2024-10-18,663.42
24,Michelle,Young,7,32,2024-11-01,663.42
24,Michelle,Young,7,40,2024-11-15,663.42
24,Michelle,Young,7,48,2024-11-29,663.42
24,Michelle,Young,7,56,2024-12-13,663.42
25,Jason,King,8,16,2024-10-18,630.25
25,Jason,King,8,24,2024-11-01,630.25
25,Jason,King,8,32,2024-11-15,630.25
25,Jason,King,8,40,2024-11-29,630.25
25,Jason,King,8,48,2024-12-13,630.25
26,Angela,Wright,8,8,2024-10-18,630.25
26,Angela,Wright,8,16,2024-11-01,630.25
26,Angela,Wright,8,24,2024-11-15,630.25
26,Angela,Wright,8,32,2024-11-29,630.25
26,Angela,Wright,8,40,2024-12-13,630.25
27,Eric,Lopez,8,0,2024-10-18,630.25
27,Eric,Lopez,8,8,2024-11-01,630.25
27,Eric,Lopez,8,16,2024-11-15,630.25
27,Eric,Lopez,8,24,2024-11-29,630.25
27,Eric,Lopez,8,32,2024-12-13,630.25
28,Kimberly,Hill,9,40,2024-10-18,598.74
28,Kimberly,Hill,9,48,2024-11-01,598.74
28,Kimberly,Hill,9,56,2024-11-15,598.74
28,Kimberly,Hill,9,64,2024-11-29,598.74
28,Kimberly,Hill,9,72,2024-12-13,598.74
29,Steven,Scott,9,32,2024-10-18,598.74
29,Steven,Scott,9,40,2024-11-01,598.74
29,Steven,Scott,9,48,2024-11-15,598.74
29,Steven,Scott,9,56,2024-11-29,598.74
29,Steven,Scott,9,64,2024-12-13,598.74
30,Jessica,Green,9,24,2024-10-18,598.74
30,Jessica,Green,9,32,2024-11-01,598.74
30,Jessica,Green,9,40,2024-11-15,598.74
30,Jessica,Green,9,48,2024-11-29,598.74
30,Jessica,Green,9,56,2024-12-13,598.74
31,Mark,Adams,10,16,2024-10-18,568.8
31,Mark,Adams,10,24,2024-11-01,568.8
31,Mark,Adams,10,32,2024-11-15,568.8
31,Mark,Adams,10,40,2024-11-29,568.8
31,Mark,Adams,10,48,2024-12-13,568.8
32,Patricia,Baker,10,8,2024-10-18,568.8
32,Patricia,Baker,10,16,2024-11-01,568.8
32,Patricia,Baker,10,24,2024-11-15,568.8
32,Patricia,Baker,10,32,2024-11-29,568.8
32,Patricia,Baker,10,40,2024-12-13,568.8
33,Paul,Nelson,10,0,2024-10-18,568.8
33,Paul,Nelson,10,8,2024-11-01,568.8
33,Paul,Nelson,10,16,2024-11-15,568.8
33,Paul,Nelson,10,24,2024-11-29,568.8
33,Paul,Nelson,10,32,2024-12-13,568.8
34,Jennifer,Carter,11,40,2024-10-18,540.36
34,Jennifer,Carter,11,48,2024-11-01,540.36
34,Jennifer,Carter,11,56,2024-11-15,540.36
34,Jennifer,Carter,11,64,2024-11-29,540.36
34,Jennifer,Carter,11,72,2024-12-13,540.36
35,Charles,Mitchell,11,32,2024-10-18,540.36
35,Charles,Mitchell,11,40,2024-11-01,540.36
35,Charles,Mitchell,11,48,2024-11-15,540.36
35,Charles,Mitchell,11,56,2024-11-29,540.36
35,Charles,Mitchell,11,64,2024-12-13,540.36
36,Emily,Roberts,11,24,2024-10-18,540.36
36,Emily,Roberts,11,32,2024-11-01,540.36
36,Emily,Roberts,11,40,2024-11-15,540.36
36,Emily,Roberts,11,48,2024-11-29,540.36
36,Emily,Roberts,11,56,2024-12-13,540.36
37,Anthony,Turner,12,16,2024-10-18,513.34
37,Anthony,Turner,12,24,2024-11-01,513.34
37,Anthony,Turner,12,32,2024-11-15,513.34
37,Anthony,Turner,12,40,2024-11-29,513.34
37,Anthony,Turner,12,48,2024-12-13,513.34
38,Angela,Phillips,12,8,2024-10-18,513.34
38,Angela,Phillips,12,16,2024-11-01,513.34
38,Angela,Phillips,12,24,2024-11-15,513.34
39,Brandon,Martinez,12,32,2024-11-29,513.34
39,Brandon,Martinez,12,40,2024-12-13,513.34
40,Jessica,Garcia,12,16,2024-10-18,513.34
40,Jessica,Garcia,12,24,2024-11-01,513.34
40,Jessica,Garcia,12,32,2024-11-15,513.34
40,Jessica,Garcia,12,40,2024-11-29,513.34
40,Jessica,Garcia,12,48,2024-12-13,513.34
41,Kevin,Robinson,12,8,2024-10-18,513.34
41,Kevin,Robinson,12,16,2024-11-01,513.34
41,Kevin,Robinson,12,24,2024-11-15,513.34
41,Kevin,Robinson,12,32,2024-11-29,513.34
41,Kevin,Robinson,12,40,2024-12-13,513.34
42,Laura,Clark,12,0,2024-10-18,513.34
42,Laura,Clark,12,8,2024-11-01,513.34
42,Laura,Clark,12,16,2024-11-15,513.34
42,Laura,Clark,12,24,2024-11-29,513.34
42,Laura,Clark,12,32,2024-12-13,513.34
43,Daniel,Rodriguez,12,32,2024-10-18,487.67
43,Daniel,Rodriguez,12,40,2024-11-01,487.67
43,Daniel,Rodriguez,12,48,2024-11-15,487.67
43,Daniel,Rodriguez,12,56,2024-11-29,487.67
43,Daniel,Rodriguez,12,64,2024-12-13,487.67
44,Emily,Lewis,12,24,2024-10-18,487.67
44,Emily,Lewis,12,32,2024-11-01,487.67
44,Emily,Lewis,12,40,2024-11-15,487.67
44,Emily,Lewis,12,48,2024-11-29,487.67
44,Emily,Lewis,12,56,2024-12-13,487.67
45,James,Walker,12,16,2024-10-18,487.67
45,James,Walker,12,24,2024-11-01,487.67
45,James,Walker,12,32,2024-11-15,487.67
45,James,Walker,12,40,2024-11-29,487.67
45,James,Walker,12,48,2024-12-13,487.67
46,Olivia,Hall,12,8,2024-10-18,487.67
46,Olivia,Hall,12,16,2024-11-01,487.67
46,Olivia,Hall,12,24,2024-11-15,487.67
46,Olivia,Hall,12,32,2024-11-29,487.67
46,Olivia,Hall,12,40,2024-12-13,487.67
47,Matthew,Allen,12,0,2024-10-18,487.67
47,Matthew,Allen,12,8,2024-11-01,487.67
47,Matthew,Allen,12,16,2024-11-15,487.67
47,Matthew,Allen,12,24,2024-11-29,487.67
47,Matthew,Allen,12,32,2024-12-13,487.67
48,Isabella,Young,12,32,2024-10-18,463.29
48,Isabella,Young,12,40,2024-11-01,463.29
48,Isabella,Young,12,48,2024-11-15,463.29
48,Isabella,Young,12,56,2024-11-29,463.29
48,Isabella,Young,12,64,2024-12-13,463.29
49,David,Hernandez,12,24,2024-10-18,463.29
49,David,Hernandez,12,32,2024-11-01,463.29
49,David,Hernandez,12,40,2024-11-15,463.29
49,David,Hernandez,12,48,2024-11-29,463.29
49,David,Hernandez,12,56,2024-12-13,463.29
50,Sophia,King,12,16,2024-10-18,463.29
50,Sophia,King,12,24,2024-11-01,463.29
50,Sophia,King,12,32,2024-11-15,463.29
50,Sophia,King,12,40,2024-11-29,463.29
50,Sophia,King,12,48,2024-12-13,463.29
51,Christopher,Wright,12,8,2024-10-18,463.29
51,Christopher,Wright,12,16,2024-11-01,463.29
51,Christopher,Wright,12,24,2024-11-15,463.29
51,Christopher,Wright,12,32,2024-11-29,463.29
51,Christopher,Wright,12,40,2024-12-13,463.29
52,Amelia,Lopez,12,0,2024-10-18,463.29
52,Amelia,Lopez,12,8,2024-11-01,463.29
52,Amelia,Lopez,12,16,2024-11-15,463.29
52,Amelia,Lopez,12,24,2024-11-29,463.29
52,Amelia,Lopez,12,32,2024-12-13,463.29
53,Joshua,Hill,12,32,2024-10-18,440.12
53,Joshua,Hill,12,40,2024-11-01,440.12
53,Joshua,Hill,12,48,2024-11-15,440.12
53,Joshua,Hill,12,56,2024-11-29,440.12
53,Joshua,Hill,12,64,2024-12-13,440.12
54,Abigail,Scott,12,24,2024-10-18,440.12
54,Abigail,Scott,12,32,2024-11-01,440.12
54,Abigail,Scott,12,40,2024-11-15,440.12
54,Abigail,Scott,12,48,2024-11-29,440.12
54,Abigail,Scott,12,56,2024-12-13,440.12
55,Andrew,Green,12,16,2024-10-18,440.12
55,Andrew,Green,12,24,2024-11-01,440.12
55,Andrew,Green,12,32,2024-11-15,440.12
55,Andrew,Green,12,40,2024-11-29,440.12
55,Andrew,Green,12,48,2024-12-13,440.12
56,Charlotte,Adams,12,8,2024-10-18,440.12
56,Charlotte,Adams,12,16,2024-11-01,440.12
56,Charlotte,Adams,12,24,2024-11-15,440.12
56,Charlotte,Adams,12,32,2024-11-29,440.12
56,Charlotte,Adams,12,40,2024-12-13,440.12
57,Joseph,Baker,12,0,2024-10-18,440.12
57,Joseph,Baker,12,8,2024-11-01,440.12
57,Joseph,Baker,12,16,2024-11-15,440.12
57,Joseph,Baker,12,24,2024-11-29,440.12
57,Joseph,Baker,12,32,2024-12-13,440.12
58,Grace,Nelson,12,32,2024-10-18,418.11
58,Grace,Nelson,12,40,2024-11-01,418.11
58,Grace,Nelson,12,48,2024-11-15,418.11
58,Grace,Nelson,12,56,2024-11-29,418.11
58,Grace,Nelson,12,64,2024-12-13,418.11
59,Daniel,Carter,12,24,2024-10-18,418.11
59,Daniel,Carter,12,32,2024-11-01,418.11
59,Daniel,Carter,12,40,2024-11-15,418.11
59,Daniel,Carter,12,48,2024-11-29,418.11
59,Daniel,Carter,12,56,2024-12-13,418.11
60,Elizabeth,Mitchell,12,16,2024-10-18,418.11
60,Elizabeth,Mitchell,12,24,2024-11-01,418.11
60,Elizabeth,Mitchell,12,32,2024-11-15,418.11
60,Elizabeth,Mitchell,12,40,2024-11-29,418.11
60,Elizabeth,Mitchell,12,48,2024-12-13,418.11
61,James,Perez,12,8,2024-10-18,418.11
61,James,Perez,12,16,2024-11-01,418.11
61,James,Perez,12,24,2024-11-15,418.11
61,James,Perez,12,32,2024-11-29,418.11
61,James,Perez,12,40,2024-12-13,418.11
62,Victoria,Roberts,12,0,2024-10-18,418.11
62,Victoria,Roberts,12,8,2024-11-01,418.11
62,Victoria,Roberts,12,16,2024-11-15,418.11
62,Victoria,Roberts,12,24,2024-11-29,418.11
62,Victoria,Roberts,12,32,2024-12-13,418.11
63,John,Turner,12,32,2024-10-18,397.20
63,John,Turner,12,40,2024-11-01,397.20
63,John,Turner,12,48,2024-11-15,397.20
63,John,Turner,12,56,2024-11-29,397.20
63,John,Turner,12,64,2024-12-13,397.20
64,Emma,Phillips,12,24,2024-10-18,397.20
64,Emma,Phillips,12,32,2024-11-01,397.20
64,Emma,Phillips,12,40,2024-11-15,397.20
64,Emma,Phillips,12,48,2024-11-29,397.20
64,Emma,Phillips,12,56,2024-12-13,397.20
65,Michael,Campbell,12,16,2024-10-18,397.20
65,Michael,Campbell,12,24,2024-11-01,397.20
65,Michael,Campbell,12,32,2024-11-15,397.20
65,Michael,Campbell,12,40,2024-11-29,397.20
65,Michael,Campbell,12,48,2024-12-13,397.20
66,Olivia,Parker,12,8,2024-10-18,397.20
66,Olivia,Parker,12,16,2024-11-01,397.20
66,Olivia,Parker,12,24,2024-11-15,397.20
66,Olivia,Parker,12,32,2024-11-29,397.20
66,Olivia,Parker,12,40,2024-12-13,397.20
67,William,Evans,12,0,2024-10-18,397.20
67,William,Evans,12,8,2024-11-01,397.20
67,William,Evans,12,16,2024-11-15,397.20
67,William,Evans,12,24,2024-11-29,397.20
67,William,Evans,12,32,2024-12-13,397.20
68,Isabella,Edwards,12,32,2024-10-18,377.34
68,Isabella,Edwards,12,40,2024-11-01,377.34
68,Isabella,Edwards,12,48,2024-11-15,377.34
68,Isabella,Edwards,12,56,2024-11-29,377.34
68,Isabella,Edwards,12,64,2024-12-13,377.34
69,Alexander,Collins,12,24,2024-10-18,377.34
69,Alexander,Collins,12,32,2024-11-01,377.34
69,Alexander,Collins,12,40,2024-11-15,377.34
69,Alexander,Collins,12,48,2024-11-29,377.34
69,Alexander,Collins,12,56,2024-12-13,377.34
70,Emily,Stewart,12,16,2024-10-18,377.34
70,Emily,Stewart,12,24,2024-11-01,377.34
70,Emily,Stewart,12,32,2024-11-15,377.34
70,Emily,Stewart,12,40,2024-11-29,377.34
70,Emily,Stewart,12,48,2024-12-13,377.34
71,Daniel,Sanchez,12,8,2024-10-18,377.34
71,Daniel,Sanchez,12,16,2024-11-01,377.34
71,Daniel,Sanchez,12,24,2024-11-15,377.34
71,Daniel,Sanchez,12,32,2024-11-29,377.34
71,Daniel,Sanchez,12,40,2024-12-13,377.34
72,Charlotte,Morris,12,0,2024-10-18,377.34
